10	100
14	30	29	35	16	17	12	27	33	21	46	19	15	37	34	16	39	41	23	38	17	29	32	32	43	35	44	38	40	28	21	20	41	29	32	12	30	48	15	11	48	42	37	49	16	18	39	19	49	31	29	26	32	41	30	42	12	34	49	21	50	14	17	49	33	30	34	49	12	18	44	15	28	13	44	31	34	25	35	22	30	36	31	42	47	48	30	16	37	17	23	11	29	17	10	48	31	29	44	25	
27	15	18	39	19	14	20	24	15	40	29	31	42	46	31	28	14	44	37	43	15	28	43	50	35	40	15	39	35	32	28	42	24	10	46	16	41	14	36	31	21	43	50	44	41	42	47	20	17	22	23	25	25	17	30	48	20	27	21	11	32	10	48	23	44	50	37	29	45	36	28	10	32	21	37	33	43	25	30	33	45	24	34	35	46	25	44	44	50	48	15	48	27	38	36	21	23	22	26	25	
12	16	21	38	49	14	41	39	26	28	44	13	12	41	16	10	42	33	39	32	35	36	18	12	22	21	36	43	11	37	50	30	29	38	23	29	26	21	12	30	17	36	12	50	18	16	25	48	39	45	34	15	16	23	44	43	33	38	38	29	34	38	39	30	42	30	19	31	10	12	40	40	45	50	19	42	24	32	22	46	26	38	29	28	25	29	49	43	24	41	38	47	11	31	36	34	13	46	36	27	
18	21	42	23	24	22	16	10	43	42	23	29	39	44	40	27	30	39	23	29	32	49	40	21	29	24	49	36	43	34	39	19	21	38	22	19	18	13	50	10	29	46	44	50	13	33	21	23	29	48	27	45	26	38	43	13	25	31	13	49	25	39	50	26	10	16	32	49	40	20	22	46	40	46	32	10	14	41	47	29	15	22	44	28	26	21	16	25	23	50	13	45	16	38	42	16	10	28	35	35	
47	12	42	41	27	27	15	22	12	27	26	47	38	18	45	49	33	40	40	12	21	10	21	49	15	40	23	49	38	38	22	38	16	37	20	12	35	35	50	23	22	45	19	37	11	35	33	20	32	46	22	27	36	46	38	32	36	29	42	13	19	40	43	44	32	42	49	48	20	27	39	16	47	36	12	30	39	21	18	50	44	41	37	40	17	28	23	41	10	36	38	35	23	21	42	32	22	46	50	16	
15	33	36	48	19	14	10	28	30	17	27	35	10	28	49	31	40	17	44	11	11	26	20	19	18	35	20	41	36	27	20	38	43	50	28	49	50	23	29	11	18	15	30	12	41	13	22	43	10	41	36	25	32	10	49	22	50	38	24	37	17	19	12	30	16	35	14	13	12	32	33	39	44	46	24	21	12	24	44	16	29	35	41	29	14	27	16	34	29	22	30	21	49	22	41	49	20	42	13	10	
33	17	21	13	46	47	16	25	12	14	37	19	45	33	13	27	23	15	47	11	30	17	15	43	37	13	33	38	21	45	11	32	11	28	38	11	21	30	36	11	34	18	29	29	20	19	21	23	21	48	46	49	45	37	28	17	44	37	21	47	44	35	28	35	35	36	30	25	42	40	18	45	36	48	31	15	11	26	15	32	32	28	18	50	18	27	36	29	16	24	15	15	21	50	10	38	44	50	47	18	
49	39	26	33	15	43	47	38	22	46	38	46	27	19	44	47	21	33	13	46	15	23	39	50	43	41	49	36	20	26	44	29	45	26	41	23	20	29	46	36	25	35	36	15	19	47	11	31	15	36	15	43	26	21	33	25	38	44	20	19	28	39	21	50	36	40	40	13	50	30	12	25	32	21	34	49	49	47	34	14	32	41	27	30	16	11	13	26	30	43	26	34	10	26	13	40	33	29	29	14	
37	37	31	47	10	12	47	48	34	50	38	35	48	24	31	13	47	45	25	24	23	28	18	44	40	39	45	38	36	45	32	45	26	16	23	27	26	19	16	37	16	26	33	18	23	10	21	24	31	11	23	14	48	33	43	39	20	47	46	20	39	12	28	16	44	22	47	37	13	10	10	21	27	22	15	11	30	11	33	37	43	14	34	16	35	13	39	13	32	37	23	45	12	13	13	28	43	16	32	33	
18	20	46	39	40	42	15	12	42	21	45	30	43	48	24	29	40	46	16	12	10	14	28	41	43	20	46	27	35	11	48	33	10	48	50	23	31	44	28	15	30	16	26	48	44	24	27	19	10	24	17	33	23	41	25	30	46	22	41	22	28	40	37	26	18	13	17	34	37	40	26	33	19	36	31	23	38	35	34	24	24	10	27	19	45	10	47	11	38	38	22	27	20	25	30	13	49	14	46	42	
