10	200
22	10	20	50	34	17	11	39	19	32	25	12	31	14	23	49	26	28	18	17	34	50	39	19	47	23	49	49	32	26	30	49	32	34	34	39	21	49	12	44	39	39	47	45	38	28	50	14	27	45	28	28	42	49	33	44	34	44	27	38	22	24	30	19	22	32	26	36	41	49	46	45	45	21	35	17	32	24	12	29	45	36	37	10	48	37	38	27	37	49	23	18	24	22	46	17	46	36	17	47	25	11	45	41	29	29	25	34	40	37	47	22	35	42	24	44	15	21	37	42	40	22	10	23	25	13	45	11	30	29	23	39	34	23	19	21	33	47	36	34	26	50	15	47	27	41	41	49	30	20	37	31	44	23	17	11	14	17	36	14	44	41	16	12	22	17	48	24	20	47	10	46	31	26	45	14	20	45	19	20	36	36	36	21	35	28	44	16	37	47	50	26	30	33	33	24	29	19	34	12	
46	38	37	20	40	41	19	48	27	46	21	29	47	26	42	40	13	18	16	47	19	41	48	36	18	28	33	50	22	41	40	18	45	50	49	32	10	47	47	29	32	49	24	34	39	44	42	23	45	34	43	49	46	26	31	43	48	11	38	36	13	43	44	25	48	27	38	10	44	14	21	22	48	22	38	32	33	46	25	39	34	37	13	24	32	50	34	47	25	29	38	12	46	40	11	43	12	45	23	10	13	20	18	36	40	24	13	40	15	31	12	19	32	28	29	35	13	10	23	39	29	17	22	38	19	17	38	11	14	38	28	31	36	18	45	27	12	25	40	30	24	36	36	23	29	26	19	50	11	19	11	37	49	10	22	30	44	28	15	21	43	32	10	21	14	12	15	23	19	32	41	29	16	24	35	27	27	16	28	37	37	34	43	16	33	37	47	12	23	28	22	15	49	29	47	48	25	33	38	42	
19	43	43	25	42	21	35	25	36	50	48	41	40	30	17	36	37	46	18	48	12	34	26	15	49	48	30	25	19	44	20	15	13	19	36	20	46	34	15	40	40	42	41	42	40	23	25	12	14	14	35	33	17	41	26	28	38	43	35	23	27	20	43	47	30	32	34	22	32	20	19	33	26	31	33	22	47	46	24	39	40	19	17	13	27	23	24	17	19	24	33	21	34	28	43	34	19	22	36	14	42	23	43	42	36	37	39	27	38	30	42	38	11	36	14	33	46	13	43	14	50	39	42	34	19	11	31	24	41	47	35	24	29	23	24	35	40	47	31	11	44	45	25	38	16	15	22	33	27	36	32	39	24	40	19	11	43	35	20	41	32	30	16	43	19	15	38	26	28	43	19	14	42	18	20	23	12	10	35	29	33	40	14	21	15	24	30	26	26	30	50	43	24	16	25	48	32	45	39	11	
50	11	24	50	15	29	50	28	38	19	16	27	10	16	36	20	43	18	50	48	24	19	10	32	34	25	34	34	33	43	28	47	14	32	48	15	40	27	48	17	20	34	25	18	38	14	44	16	45	40	28	34	45	38	22	12	36	37	46	13	38	16	15	17	20	37	47	40	22	45	42	45	31	11	33	13	26	11	20	16	43	10	14	19	33	33	11	38	41	48	41	44	17	11	28	14	27	26	22	36	12	38	44	22	20	25	12	44	31	34	46	10	32	10	33	24	39	38	32	45	16	27	13	11	39	13	49	40	30	24	39	13	35	13	34	27	29	40	35	46	37	33	16	30	30	32	21	25	37	13	21	20	25	50	45	43	36	35	10	39	22	18	49	31	34	38	47	33	20	30	13	21	16	43	20	16	42	39	23	33	47	24	32	46	36	13	33	26	25	46	31	31	15	26	38	50	32	41	39	20	
19	47	17	14	21	12	32	12	21	11	44	48	17	23	28	33	12	43	39	36	24	30	11	50	12	44	20	29	20	27	34	17	16	15	31	35	48	25	50	17	47	11	16	15	16	24	11	49	34	46	30	43	27	28	34	24	38	10	48	50	22	13	36	34	17	41	30	50	12	30	17	44	40	42	28	47	38	17	23	38	40	38	23	21	18	15	17	37	44	23	39	19	35	49	25	29	24	19	48	13	19	23	18	35	35	18	31	29	12	46	28	16	43	27	35	46	49	27	40	42	10	28	47	13	29	17	25	24	35	26	22	40	17	34	50	44	11	15	28	19	23	32	14	29	38	32	34	40	37	32	31	20	31	42	15	47	39	28	43	25	46	45	47	40	19	35	44	21	28	43	49	33	25	25	29	19	35	40	14	48	15	47	47	20	15	28	11	20	28	21	12	13	46	22	26	24	44	39	20	46	
12	41	10	46	48	38	39	43	44	32	18	22	26	41	12	36	18	21	33	46	14	34	39	41	26	11	26	35	11	34	49	35	18	46	28	45	31	30	21	13	25	45	45	15	36	48	10	27	40	33	16	14	44	10	28	45	40	38	19	48	12	32	41	13	18	19	42	47	10	17	47	40	46	26	34	39	23	45	42	31	15	24	40	50	31	16	36	42	20	27	48	42	24	27	11	19	35	39	12	42	19	15	17	10	16	30	37	29	21	15	29	40	32	40	30	11	15	11	20	26	14	50	14	47	28	37	28	24	31	24	24	19	13	47	44	16	33	27	38	32	14	18	15	32	34	28	48	19	30	24	24	45	26	26	42	34	47	19	14	22	12	42	16	25	41	31	32	26	22	37	47	21	47	49	50	44	22	10	43	13	14	35	22	48	38	14	47	25	43	34	13	40	10	44	15	13	45	23	50	25	
25	46	35	27	49	21	24	21	24	44	40	24	44	11	42	41	30	24	23	46	16	21	41	35	13	33	28	19	12	17	37	23	50	42	24	18	49	10	27	24	11	23	22	17	26	26	11	28	36	39	41	45	30	20	13	28	37	32	21	47	25	49	28	46	17	41	50	41	29	25	20	21	25	36	13	40	50	35	22	35	35	49	49	29	14	29	22	49	25	13	30	49	35	42	31	30	31	23	35	48	28	26	25	34	20	34	48	19	46	25	33	47	22	29	42	42	32	24	48	28	38	47	33	46	10	17	46	38	37	43	49	14	21	35	48	42	33	12	31	43	45	15	13	28	24	32	41	42	21	31	11	14	37	45	18	30	21	29	22	49	21	49	32	50	20	13	30	48	22	27	12	50	49	20	46	26	46	35	19	35	22	36	35	16	22	21	34	36	25	36	43	14	14	23	40	41	41	16	35	14	
50	13	14	30	43	19	15	43	38	10	27	26	38	13	50	39	18	26	10	23	44	23	34	19	14	47	37	34	17	17	16	17	30	22	43	43	11	36	25	31	13	33	33	26	16	17	28	34	44	10	12	16	25	15	50	41	46	46	25	32	16	35	46	43	33	36	41	39	33	43	27	34	24	24	41	45	10	44	27	32	42	38	12	41	34	29	39	14	31	38	18	33	44	16	38	50	36	11	50	33	24	18	11	34	23	27	24	46	29	16	17	21	34	28	25	32	25	49	45	12	41	18	15	41	33	47	28	31	50	11	22	46	40	11	18	16	34	44	16	41	20	43	50	10	48	18	17	42	23	38	42	10	18	41	11	47	42	22	14	50	24	15	45	49	19	46	36	28	12	50	48	21	24	16	13	43	28	22	15	11	39	41	46	27	38	13	11	49	41	50	50	37	34	16	43	36	33	43	20	35	
27	38	44	42	33	23	22	45	45	49	44	24	48	15	14	50	23	38	35	24	37	16	44	18	31	26	37	31	15	31	14	24	14	27	17	15	42	26	18	13	19	23	32	18	44	28	17	14	19	50	48	15	48	32	37	42	32	48	41	39	31	38	45	28	47	14	24	11	26	20	26	15	46	23	20	28	48	32	17	26	45	48	22	28	13	26	24	32	22	39	24	39	35	49	34	34	24	32	19	22	39	19	40	16	49	19	49	37	34	21	14	44	13	32	11	29	12	36	28	47	47	21	24	13	39	32	14	18	21	50	44	22	44	35	26	49	47	31	46	13	30	46	21	29	44	31	31	47	27	27	39	29	41	27	41	31	41	41	47	33	42	39	49	15	19	46	42	40	14	24	23	41	18	48	35	26	39	13	33	38	21	27	16	27	13	35	27	18	38	14	42	50	21	21	40	12	28	37	42	20	
48	12	27	10	13	26	34	21	46	46	21	14	28	29	14	28	20	44	44	33	10	40	49	43	46	10	26	19	22	12	14	20	20	12	37	47	45	34	34	12	25	20	16	38	23	45	36	48	24	16	50	33	45	36	36	25	45	29	35	40	38	33	46	12	24	15	47	29	26	28	11	14	48	42	35	23	31	45	34	28	18	46	16	47	25	21	39	39	23	43	27	49	21	49	27	14	24	20	27	33	50	31	37	20	50	16	47	47	37	49	46	10	46	35	20	50	15	14	20	18	40	26	33	43	46	10	33	34	50	15	34	41	37	42	49	47	38	50	38	25	26	27	38	43	44	46	38	45	13	44	49	23	12	16	37	50	32	44	30	10	23	28	26	18	13	12	50	50	50	16	27	10	34	18	31	29	24	47	18	24	47	25	16	17	14	33	26	35	29	24	17	38	46	12	19	22	28	36	28	39	
